"position","Points:0","Points:1","Points:2"
0,5.2037,22.877,-4.8032
0,5.2215,22.869,-4.8351
0,5.2444,22.849,-4.8735
0,5.2666,22.82,-4.9076
0,5.2442,22.868,-4.8785
0,5.2658,22.876,-4.9228
0,5.336,22.851,-4.6569
0,5.3464,22.873,-4.6541
0,5.3531,22.841,-4.642
0,5.3166,22.862,-4.6677
0,5.3234,22.83,-4.6555
0,5.3549,22.853,-4.6617
0,5.3391,22.862,-4.6728
0,5.3291,22.843,-4.6735
0,5.3449,22.834,-4.6623
0,5.3302,22.872,-4.5982
0,5.3039,22.887,-4.6167
0,5.2873,22.855,-4.6178
0,5.3136,22.841,-4.5993
0,5.3741,22.914,-4.6611
0,5.3943,22.819,-4.6248
0,5.2849,22.88,-4.7018
0,5.3051,22.784,-4.6655
0,5.3996,22.854,-4.684
0,5.3522,22.88,-4.7173
0,5.3224,22.824,-4.7193
0,5.3697,22.798,-4.6859
0,5.3731,22.889,-4.5786
0,5.2942,22.932,-4.6342
0,5.2444,22.839,-4.6374
0,5.3233,22.795,-4.5818
0,5.4019,22.955,-4.6682
0,5.4355,22.796,-4.6076
0,5.2532,22.898,-4.736
0,5.2869,22.739,-4.6755
0,5.4444,22.855,-4.7063
0,5.3654,22.899,-4.7619
0,5.3156,22.805,-4.765
0,5.3946,22.761,-4.7094
0,5.416,22.905,-4.559
0,5.2844,22.978,-4.6517
0,5.2015,22.822,-4.657
0,5.333,22.749,-4.5643
0,5.3206,22.858,-4.6293
0,5.2969,22.869,-4.5867
0,5.2731,22.881,-4.5442
0,5.2586,22.894,-4.4995
0,5.2419,22.888,-4.5071
0,5.2535,22.911,-4.4527
0,5.2034,22.892,-4.4756
0,5.258,22.929,-4.4074
0,5.2461,22.907,-4.4082
0,5.2391,22.94,-4.4207
0,5.239,22.925,-4.408
0,5.1722,22.899,-4.4385
0,5.1723,22.914,-4.4512
0,5.1793,22.881,-4.4387
0,5.1604,22.892,-4.452
0,5.2723,22.949,-4.3637
0,5.2365,22.882,-4.366
0,5.2156,22.981,-4.4036
0,5.2153,22.936,-4.3654
0,5.1484,22.911,-4.396
0,5.1488,22.955,-4.4341
0,5.1697,22.856,-4.3965
0,5.1131,22.888,-4.4364
0,5.2865,22.969,-4.32
0,5.227,22.857,-4.3238
0,5.1921,23.021,-4.3865
0,5.1915,22.948,-4.3229
0,5.1247,22.922,-4.3534
0,5.1253,22.996,-4.417
0,5.1601,22.831,-4.3543
0,5.0657,22.884,-4.4208
0,5.3455,22.846,-4.674
0,5.3634,22.838,-4.7059
0,5.3778,22.824,-4.7506
0,5.383,22.807,-4.7974
0,5.3945,22.83,-4.7429
0,5.4331,22.827,-4.7745
0,5.1677,22.729,-4.9093
0,5.1459,22.733,-4.9198
0,5.1728,22.753,-4.9099
0,5.1602,22.706,-4.9045
0,5.1871,22.725,-4.8946
0,5.1674,22.738,-4.9266
0,5.162,22.717,-4.9243
0,5.1798,22.714,-4.9134
0,5.1853,22.734,-4.9157
0,5.1301,22.761,-4.8714
0,5.121,22.727,-4.8676
0,5.1507,22.722,-4.8494
0,5.1598,22.756,-4.8533
0,5.1094,22.739,-4.9535
0,5.1901,22.797,-4.9238
0,5.1524,22.656,-4.9077
0,5.2331,22.715,-4.878
0,5.174,22.753,-4.9738
0,5.1577,22.692,-4.9669
0,5.2112,22.681,-4.9342
0,5.2276,22.742,-4.9412
0,5.1094,22.801,-4.8934
0,5.0821,22.699,-4.8819
0,5.1714,22.682,-4.8274
0,5.1986,22.784,-4.839
0,5.0729,22.745,-4.9871
0,5.2075,22.842,-4.9376
0,5.1445,22.607,-4.9109
0,5.2791,22.704,-4.8613
0,5.1806,22.768,-5.0211
0,5.1534,22.666,-5.0095
0,5.2426,22.648,-4.955
0,5.2699,22.75,-4.9666
0,5.0887,22.841,-4.9155
0,5.0433,22.671,-4.8962
0,5.1921,22.642,-4.8054
0,5.2375,22.812,-4.8247
0,5.1523,22.736,-4.8817
0,5.1285,22.747,-4.8391
0,5.1048,22.758,-4.7966
0,5.0779,22.777,-4.76
0,5.086,22.761,-4.7514
0,5.048,22.803,-4.7294
0,5.0721,22.756,-4.7037
0,5.0173,22.834,-4.7072
0,5.0387,22.829,-4.6941
0,5.0108,22.809,-4.7044
0,5.0212,22.821,-4.6928
0,5.0534,22.759,-4.6585
0,5.043,22.747,-4.6701
0,5.0709,22.767,-4.6598
0,5.0644,22.743,-4.6571
0,4.986,22.87,-4.6933
0,5.05,22.857,-4.6542
0,4.9664,22.797,-4.685
0,4.9974,22.832,-4.6503
0,5.0296,22.77,-4.6159
0,4.9986,22.735,-4.6507
0,5.0822,22.795,-4.6199
0,5.0627,22.722,-4.6116
0,4.9546,22.906,-4.6795
0,5.0613,22.885,-4.6143
0,4.922,22.785,-4.6656
0,4.9737,22.844,-4.6077
0,5.0059,22.781,-4.5734
0,4.9542,22.723,-4.6313
0,5.0935,22.823,-4.58
0,5.0609,22.702,-4.5662
0,5.1772,22.724,-4.9264
0,5.195,22.716,-4.9583
0,5.2219,22.697,-4.9949
0,5.2518,22.671,-5.0255
0,5.2138,22.713,-5.0034
0,5.2276,22.718,-5.0512
0,5.2204,22.723,-4.7412
0,5.204,22.705,-4.7426
0,5.2039,22.738,-4.7515
0,5.2345,22.709,-4.7267
0,5.2344,22.743,-4.7356
0,5.2131,22.719,-4.7587
0,5.2264,22.706,-4.748
0,5.2395,22.722,-4.745
0,5.2263,22.735,-4.7557
0,5.1711,22.733,-4.7037
0,5.1932,22.712,-4.6859
0,5.2151,22.739,-4.6808
0,5.193,22.76,-4.6987
0,5.1784,22.665,-4.7581
0,5.1781,22.765,-4.7847
0,5.2698,22.678,-4.7105
0,5.2696,22.778,-4.737
0,5.2057,22.706,-4.8065
0,5.2455,22.668,-4.7744
0,5.2849,22.717,-4.7652
0,5.2452,22.755,-4.7974
0,5.1271,22.727,-4.7267
0,5.1933,22.664,-4.6731
0,5.2591,22.745,-4.6579
0,5.1929,22.809,-4.7115
0,5.1527,22.625,-4.7737
0,5.1523,22.792,-4.818
0,5.3051,22.646,-4.6942
0,5.3047,22.814,-4.7385
0,5.1983,22.693,-4.8543
0,5.2645,22.63,-4.8008
0,5.3303,22.712,-4.7855
0,5.2642,22.775,-4.8391
0,5.0831,22.721,-4.7496
0,5.1934,22.615,-4.6603
0,5.3031,22.752,-4.6349
0,5.1928,22.857,-4.7242
0,5.205,22.731,-4.7136
0,5.1812,22.742,-4.671
0,5.1575,22.753,-4.6285
0,5.1261,22.762,-4.592
0,5.1432,22.765,-4.5831
0,5.0871,22.77,-4.5618
0,5.1385,22.778,-4.535
0,5.0435,22.776,-4.5401
0,5.0593,22.796,-4.5364
0,5.0593,22.761,-4.5272
0,5.0557,22.78,-4.5254
0,5.1242,22.79,-4.4897
0,5.1279,22.771,-4.4915
0,5.1278,22.805,-4.5007
0,5.1436,22.79,-4.4879
0,4.9954,22.779,-4.5269
0,5.0426,22.838,-4.5159
0,5.0429,22.734,-4.4884
0,5.0319,22.791,-4.4828
0,5.1005,22.801,-4.4471
0,5.1114,22.744,-4.4527
0,5.1112,22.848,-4.4802
0,5.1586,22.802,-4.4418
0,4.9473,22.783,-4.5137
0,5.026,22.881,-4.4955
0,5.0264,22.707,-4.4496
0,5.0082,22.802,-4.4403
0,5.0767,22.812,-4.4046
0,5.095,22.717,-4.4139
0,5.0945,22.89,-4.4598
0,5.1736,22.815,-4.3957
0,5.2299,22.719,-4.7582
0,5.2477,22.71,-4.7901
0,5.2791,22.701,-4.8266
0,5.3181,22.693,-4.8568
0,5.262,22.698,-4.8355
0,5.2667,22.686,-4.8836
0,5.4331,22.822,-4.8663
0,5.4169,22.804,-4.8676
0,5.4165,22.837,-4.8766
0,5.4474,22.808,-4.8518
0,5.447,22.842,-4.8607
0,5.4259,22.817,-4.8838
0,5.4392,22.805,-4.873
0,5.4523,22.821,-4.8701
0,5.4389,22.834,-4.8808
0,5.3838,22.832,-4.8288
0,5.4061,22.811,-4.8109
0,5.4278,22.838,-4.8059
0,5.4056,22.859,-4.8238
0,5.3915,22.763,-4.8829
0,5.3904,22.864,-4.9099
0,5.4829,22.777,-4.8355
0,5.4819,22.877,-4.8624
0,5.4185,22.804,-4.9315
0,5.4585,22.767,-4.8993
0,5.4977,22.816,-4.8904
0,5.4576,22.854,-4.9226
0,5.3398,22.825,-4.8516
0,5.4066,22.763,-4.7979
0,5.4718,22.845,-4.7831
0,5.4051,22.907,-4.8368
0,5.3661,22.723,-4.8982
0,5.3644,22.89,-4.9432
0,5.5185,22.746,-4.8192
0,5.5168,22.913,-4.8641
0,5.4111,22.791,-4.9792
0,5.4778,22.729,-4.9255
0,5.5431,22.811,-4.9108
0,5.4763,22.874,-4.9645
0,5.2958,22.818,-4.8744
0,5.4071,22.714,-4.7849
0,5.5158,22.851,-4.7603
0,5.4046,22.956,-4.8498
0,5.4177,22.829,-4.8386
0,5.3939,22.841,-4.7961
0,5.3702,22.852,-4.7535
0,5.3388,22.861,-4.7171
0,5.3559,22.864,-4.7082
0,5.2998,22.869,-4.6868
0,5.3512,22.877,-4.6601
0,5.2562,22.874,-4.665
0,5.2718,22.894,-4.6615
0,5.2722,22.859,-4.6522
0,5.2684,22.878,-4.6504
0,5.3369,22.889,-4.6148
0,5.3407,22.87,-4.6166
0,5.3404,22.904,-4.6259
0,5.3563,22.889,-4.6131
0,5.2081,22.877,-4.6517
0,5.2549,22.937,-4.6411
0,5.256,22.833,-4.6132
0,5.2447,22.89,-4.6078
0,5.3132,22.9,-4.5723
0,5.3245,22.843,-4.5777
0,5.3235,22.947,-4.6056
0,5.3713,22.902,-4.5671
0,5.16,22.881,-4.6385
0,5.238,22.979,-4.6208
0,5.2398,22.806,-4.5742
0,5.2209,22.901,-4.5653
0,5.2894,22.911,-4.5297
0,5.3084,22.816,-4.5387
0,5.3066,22.989,-4.5853
0,5.3864,22.914,-4.521
0,5.4426,22.818,-4.8833
0,5.4604,22.809,-4.9152
0,5.4918,22.8,-4.9516
0,5.5308,22.792,-4.9819
0,5.4747,22.797,-4.9605
0,5.4794,22.784,-5.0086
0,5.3332,22.801,-4.7157
0,5.3114,22.806,-4.7261
0,5.3384,22.825,-4.7162
0,5.3257,22.778,-4.7109
0,5.3526,22.797,-4.701
0,5.333,22.81,-4.7329
0,5.3275,22.79,-4.7306
0,5.3453,22.786,-4.7197
0,5.3508,22.807,-4.722
0,5.2956,22.834,-4.6777
0,5.2865,22.8,-4.6739
0,5.3162,22.794,-4.6557
0,5.3254,22.828,-4.6596
